Date,AAPL,AMZN,AVGO,COST,GOOG,GOOGL,HD,JPM,LLY,MA,META,MSFT,NVDA,ORCL,PG,TSLA,UNH,V,WMT,XOM
2014-01-02,17.234296798706055,19.898500442504883,3.9612834453582764,94.36917877197266,27.62482452392578,27.75524139404297,63.56880187988281,43.28535079956055,40.58515167236328,77.98402404785156,54.54576873779297,31.058565139770508,0.373966246843338,32.0086555480957,58.940643310546875,10.006667137145996,63.01327133178711,51.132057189941406,21.05429458618164,62.73944091796875
2014-01-03,16.855730056762695,19.82200050354004,3.9763312339782715,93.9526596069336,27.423307418823242,27.552770614624023,63.468048095703125,43.6199836730957,40.88115310668945,77.6727294921875,54.39622116088867,30.8496036529541,0.3694862723350525,31.92379379272461,58.87478256225586,9.970666885375977,63.46112823486328,51.166770935058594,20.984922409057617,62.588504791259766
2014-01-06,16.94764518737793,19.681499481201172,3.9492456912994385,93.23973083496094,27.72905921936035,27.859968185424805,62.85575485229492,43.8728141784668,41.225162506103516,77.28749084472656,57.02829360961914,30.197683334350586,0.37443774938583374,31.796506881713867,59.01380157470703,9.800000190734863,62.73441696166992,50.85905838012695,20.867523193359375,62.68283462524414
2014-01-07,16.826440811157227,19.901500701904297,3.9868650436401367,92.80715942382812,28.263626098632812,28.397058486938477,63.16579055786133,43.367156982421875,40.953147888183594,78.36408233642578,57.74612808227539,30.431716918945312,0.38056838512420654,32.11896514892578,59.584632873535156,9.957332611083984,64.65264129638672,51.24774169921875,20.931564331054688,63.56968307495117
2014-01-08,16.93300437927246,20.09600067138672,4.046302795410156,91.35733032226562,28.322444915771484,28.456151962280273,63.4990348815918,43.7761344909668,40.88914108276367,78.3406982421875,58.05520248413086,29.88844108581543,0.3857557773590088,32.00865173339844,58.721099853515625,10.085332870483398,63.90058517456055,51.41199493408203,20.76613998413086,63.36212158203125
2014-01-09,16.716768264770508,20.050500869750977,4.004922866821289,94.92989349365234,28.049697875976562,28.18212127685547,63.220062255859375,43.69435501098633,41.34516906738281,78.97352600097656,57.04823684692383,29.69620132446289,0.37137261033058167,31.94925308227539,58.85280990600586,9.835332870483398,64.28925323486328,51.34027099609375,20.83550453186035,62.745731353759766
2014-01-10,16.605215072631836,19.882999420166016,4.010189056396484,94.40121459960938,28.04821014404297,28.180625915527344,63.56105422973633,43.49356460571289,41.54517364501953,78.14598083496094,57.76607131958008,30.122467041015625,0.37090086936950684,32.33960723876953,58.76498794555664,9.714667320251465,63.123130798339844,51.15981674194336,20.82215690612793,63.22374725341797
2014-01-13,16.692150115966797,19.548999786376953,3.960530996322632,91.93405151367188,27.869525909423828,28.001096725463867,62.755001068115234,42.906124114990234,41.65717697143555,75.82808685302734,55.74216842651367,29.236515045166016,0.3621766269207001,32.03410339355469,58.55278396606445,9.28933334350586,62.48091506958008,50.643890380859375,20.675418853759766,61.984703063964844
2014-01-14,17.0242919921875,19.87700080871582,4.158407211303711,93.10355377197266,28.52520179748535,28.659868240356445,62.785987854003906,42.93586349487305,41.95317459106445,76.92428588867188,57.566673278808594,29.90514373779297,0.3734947443008423,32.4244499206543,59.182167053222656,10.751333236694336,62.54851531982422,51.5114860534668,20.800819396972656,62.34319305419922
2014-01-15,17.366090774536133,19.793500900268555,4.286311626434326,93.11154174804688,28.505842208862305,28.64042091369629,62.83250427246094,44.237186431884766,42.72920227050781,77.07969665527344,57.42708969116211,30.724252700805664,0.37750306725502014,32.59416961669922,59.12359619140625,10.942000389099121,63.24142837524414,51.768287658691406,20.720775604248047,62.12935256958008
2014-01-16,17.269193649291992,19.790000915527344,4.170446395874023,92.56686401367188,28.694456100463867,28.829925537109375,62.97977066040039,43.86537551879883,44.241241455078125,77.27912139892578,57.01832580566406,30.83289337158203,0.37868210673332214,32.492332458496094,58.95526885986328,11.39799976348877,61.483795166015625,51.30789566040039,20.480642318725586,62.22998046875
2014-01-17,16.846073150634766,19.980499267578125,4.223864555358887,93.15162658691406,28.553247451782227,28.688045501708984,62.778255462646484,43.210994720458984,44.12923812866211,76.61628723144531,56.13099670410156,30.406644821166992,0.37703150510787964,32.4244499206543,58.45766067504883,11.333999633789062,61.280982971191406,53.71630859375,20.32855987548828,62.36832809448242
2014-01-21,17.107803344726562,20.352500915527344,4.221607685089111,92.06221008300781,28.88009262084961,29.016435623168945,62.3597297668457,43.255615234375,44.473243713378906,76.62193298339844,58.33435821533203,30.231117248535156,0.3784463405609131,32.33960723876953,58.67716598510742,11.778667449951172,61.821800231933594,53.65847396850586,20.235179901123047,61.95323944091797
2014-01-22,17.183822631835938,20.226999282836914,4.2998552322387695,91.11700439453125,28.912853240966797,29.049348831176758,62.1582145690918,42.82432174682617,44.481258392333984,77.9812240600586,57.337364196777344,30.03053092956543,0.3779747486114502,32.22929382324219,58.42058181762695,11.904000282287598,62.02460479736328,53.903709411621094,20.10443687438965,61.563270568847656
2014-01-23,17.32932472229004,19.993499755859375,4.2170939445495605,90.35601043701172,28.79075050354004,28.926671981811523,62.189239501953125,41.99148941040039,44.121246337890625,77.10123443603516,56.46000671386719,30.139175415039062,0.37655991315841675,32.37354278564453,57.69060516357422,12.100000381469727,61.855594635009766,52.80707931518555,20.00037384033203,60.99093246459961
2014-01-24,17.014320373535156,19.3799991607666,4.0997209548950195,89.8193359375,27.8906192779541,28.02229118347168,61.35220718383789,40.96529769897461,43.29722595214844,73.49703216552734,54.28654861450195,30.76603126525879,0.3668924868106842,31.491003036499023,58.38370895385742,11.640000343322754,60.50355911254883,51.187591552734375,19.85630226135254,59.65752410888672
