Date,ADVANC.BK,AOT.BK,BBL.BK,BDMS.BK,BH.BK,CPALL.BK,CPF.BK,CPN.BK,DELTA.BK,INTUCH.BK,IVL.BK,KBANK.BK,KTB.BK,MINT.BK,PTT.BK,PTTEP.BK,SCC.BK,TLI.BK,TRUE.BK,TTB.BK
2014-01-02,115.70772552490234,13.004046440124512,112.16766357421875,8.865039825439453,68.68025970458984,33.13693618774414,22.7041015625,31.580965042114258,4.015339374542236,36.06367111206055,14.91361141204834,107.74179077148438,9.801531791687012,15.467827796936035,16.889352798461914,93.353271484375,263.64300537109375,,5.398061752319336,1.1987944841384888
2014-01-03,121.2765121459961,12.870899200439453,113.85690307617188,8.824376106262207,69.9140396118164,33.13693618774414,22.7041015625,31.159883499145508,3.8464696407318115,36.90890884399414,14.837512969970703,111.81449127197266,9.864766120910645,15.223603248596191,16.519508361816406,92.1487045288086,262.95111083984375,,5.318678379058838,1.186435580253601
2014-01-06,124.37030792236328,12.64898681640625,117.2354736328125,9.67834758758545,69.09150695800781,33.344032287597656,21.773605346679688,31.580965042114258,3.696363925933838,37.19065856933594,14.91361141204834,116.25748443603516,9.99123764038086,16.363332748413086,16.272953033447266,89.13732147216797,266.410888671875,,5.477445602416992,1.2173320055007935
2014-01-07,129.93917846679688,13.447870254516602,120.27616882324219,9.55634880065918,68.47462463378906,33.96535110473633,22.7041015625,32.84420394897461,3.771416187286377,38.17677688598633,15.446236610412598,119.95992279052734,10.244182586669922,17.096025466918945,17.320829391479492,92.44983673095703,269.1788330078125,,5.63621187210083,1.2296911478042603
2014-01-08,127.464111328125,12.870899200439453,119.93830871582031,9.312357902526855,67.44647979736328,33.551143646240234,22.145801544189453,32.633663177490234,3.7901804447174072,38.03589630126953,15.97885799407959,119.95992279052734,9.99123764038086,16.526155471801758,17.56739044189453,94.25670623779297,271.2547302246094,,5.398061752319336,1.2482292652130127
2014-01-09,125.60784912109375,12.959663391113281,120.27616882324219,9.55634880065918,68.26898956298828,33.96535110473633,21.95970916748047,32.633663177490234,3.8277060985565186,38.317649841308594,16.05495834350586,119.58967590332031,10.054473876953125,17.096025466918945,17.505746841430664,94.25670623779297,271.2547302246094,,5.437754154205322,1.2358704805374146
2014-01-10,123.44219207763672,12.915281295776367,119.60047912597656,9.515686988830566,71.55907440185547,32.92982482910156,22.331905364990234,32.002044677734375,3.8464696407318115,38.03589630126953,15.902777671813965,118.47895812988281,10.180944442749023,17.014612197875977,17.6906681060791,95.76241302490234,270.562744140625,,5.398061752319336,1.2296911478042603
2014-01-13,129.32041931152344,13.581016540527344,122.64117431640625,9.881670951843262,71.9703140258789,33.75824737548828,22.331905364990234,33.89690017700195,3.94028639793396,39.16288375854492,16.28322410583496,121.44090270996094,10.433886528015137,17.910120010375977,17.998870849609375,99.37606048583984,274.71466064453125,,5.675902843475342,1.2482292652130127
2014-01-14,131.1766815185547,14.157987594604492,122.30329895019531,9.881670951843262,71.55907440185547,32.92982482910156,22.89020347595215,33.47582244873047,3.8277060985565186,40.289878845214844,16.51149559020996,121.44090270996094,10.686829566955566,18.317169189453125,18.122148513793945,97.56920623779297,280.9424133300781,,6.231586456298828,1.2729463577270508
2014-01-15,126.8453369140625,14.73496150970459,119.26261138916016,9.759676933288574,69.09150695800781,32.51560974121094,21.95970916748047,32.633663177490234,3.677600860595703,38.88114929199219,15.826689720153809,118.84915924072266,10.497123718261719,17.991527557373047,17.6290283203125,94.8589859008789,280.9424133300781,,6.072820663452148,1.2482292652130127
2014-01-16,133.03294372558594,14.73496150970459,120.9518814086914,9.881670951843262,70.73653411865234,32.92982482910156,21.95970916748047,33.68635940551758,3.7526533603668213,40.430755615234375,16.28322410583496,122.92190551757812,10.87653636932373,17.82871437072754,17.752309799194336,96.06350708007812,282.3263244628906,,6.390352725982666,1.3100224733352661
2014-01-17,132.41415405273438,14.291136741638184,120.9518814086914,9.759676933288574,70.73653411865234,32.722721099853516,21.773605346679688,33.47582244873047,3.7901804447174072,41.13511657714844,16.207134246826172,124.40288543701172,10.813302040100098,17.503070831298828,17.752309799194336,95.76241302490234,279.5584716796875,,6.231586456298828,1.3223812580108643
2014-01-20,129.93917846679688,14.024843215942383,118.58686828613281,9.841008186340332,70.11965942382812,33.344032287597656,22.331905364990234,32.84420394897461,3.771416187286377,40.430755615234375,15.674504280090332,122.55166625976562,10.686829566955566,17.177433013916016,17.813947677612305,95.46124267578125,278.174560546875,,6.191894054412842,1.3223812580108643
2014-01-21,130.5579071044922,14.468666076660156,118.92474365234375,9.759676933288574,69.9140396118164,33.551143646240234,21.95970916748047,32.84420394897461,3.8277060985565186,40.430755615234375,15.902777671813965,125.14337921142578,10.686829566955566,17.177433013916016,17.6290283203125,95.76241302490234,276.79058837890625,,6.271278381347656,1.3594573736190796
2014-01-22,130.5579071044922,14.202370643615723,118.24903106689453,9.759676933288574,69.29714965820312,32.92982482910156,22.145801544189453,32.84420394897461,3.808943748474121,40.289878845214844,15.902777671813965,125.88385009765625,10.939772605895996,17.340251922607422,17.382471084594727,95.16007995605469,278.174560546875,,6.271278381347656,1.4212509393692017
2014-01-23,133.03294372558594,14.8681058883667,120.6140365600586,9.80034351348877,69.50275421142578,33.551143646240234,22.331905364990234,33.47582244873047,3.902759552001953,40.85337829589844,16.359315872192383,129.5863494873047,11.255949020385742,17.665889739990234,17.813947677612305,96.66580200195312,283.7103271484375,,5.993436813354492,1.408892273902893
