Date,ADVANC.BK,AOT.BK,BBL.BK,BDMS.BK,BH.BK,CPALL.BK,CPF.BK,CPN.BK,DELTA.BK,INTUCH.BK,IVL.BK,KBANK.BK,KTB.BK,MINT.BK,PTT.BK,PTTEP.BK,SCC.BK,TLI.BK,TRUE.BK,TTB.BK
2018-08-02,158.0922088623047,62.45180130004883,161.9555206298828,23.473846435546875,159.82069396972656,68.54708099365234,22.8220157623291,71.30078125,6.471426010131836,41.38467025756836,49.77474594116211,173.23907470703125,14.79210090637207,35.77296829223633,38.36773681640625,100.17809295654297,365.31884765625,,5.817817211151123,1.575942039489746
2018-08-03,155.35296630859375,62.688350677490234,163.55113220214844,23.473846435546875,161.5769805908203,67.63005828857422,22.8220157623291,72.20618438720703,6.448559284210205,41.38467025756836,49.77474594116211,176.50772094726562,15.02566146850586,35.53762435913086,38.18327713012695,100.535888671875,363.70953369140625,,5.817817211151123,1.589766025543213
2018-08-06,156.13558959960938,61.74211120605469,163.55113220214844,22.60443878173828,160.25978088378906,66.71304321289062,21.75556755065918,71.97984313964844,6.402824878692627,41.38467025756836,46.89521789550781,177.3249053955078,14.71424674987793,35.77296829223633,37.99881362915039,99.82032775878906,363.70953369140625,,5.817817211151123,1.5621182918548584
2018-08-07,156.13558959960938,61.978675842285156,164.3489532470703,22.60443878173828,161.5769805908203,67.17154693603516,22.608722686767578,72.20618438720703,6.448559284210205,41.56942367553711,48.74635696411133,174.8734130859375,14.869953155517578,36.47902297973633,38.55220413208008,101.96698760986328,365.31884765625,,5.9552459716796875,1.5621182918548584
2018-08-08,159.65748596191406,62.688350677490234,164.3489532470703,23.473846435546875,163.33326721191406,67.63005828857422,22.182147979736328,72.88523864746094,6.402824878692627,41.93893051147461,49.157711029052734,176.50772094726562,14.947809219360352,36.47902297973633,39.1055793762207,102.87257385253906,372.2890319824219,,6.09267520904541,1.575942039489746
2018-08-09,159.65748596191406,61.978675842285156,165.944580078125,23.473846435546875,157.18630981445312,67.85931396484375,22.395435333251953,72.20618438720703,6.448559284210205,41.75417709350586,48.334991455078125,177.3249053955078,15.103511810302734,36.24366760253906,38.73665237426758,102.51034545898438,372.2890319824219,,6.00105619430542,1.589766025543213
2018-08-10,158.0922088623047,61.978675842285156,164.3489532470703,23.25649642944336,156.3081512451172,65.3375244140625,21.243671417236328,72.88523864746094,6.425692081451416,41.56942367553711,47.51226043701172,177.3249053955078,15.103511810302734,35.77296829223633,38.18327713012695,100.33696746826172,370.64898681640625,,6.046865463256836,1.575942039489746
2018-08-14,156.52691650390625,61.978675842285156,162.75332641601562,22.821792602539062,158.06443786621094,63.503482818603516,21.968856811523438,71.52713012695312,6.448559284210205,41.56942367553711,47.306583404541016,175.69056701660156,15.103511810302734,36.00831985473633,38.18327713012695,100.69921112060547,365.72882080078125,,5.817817211151123,1.5621182918548584
2018-08-15,154.35714721679688,61.26899719238281,160.35987854003906,22.16974449157715,156.7472381591797,63.503482818603516,21.54227638244629,70.84807586669922,6.425692081451416,41.19991683959961,47.100894927978516,174.0562286376953,15.02566146850586,35.53762435913086,37.6298942565918,98.88806915283203,365.72882080078125,,5.497150421142578,1.548294186592102
2018-08-16,155.15487670898438,61.26899719238281,162.75332641601562,22.16974449157715,154.5518798828125,64.6497573852539,22.182147979736328,70.84807586669922,6.402824878692627,41.464988708496094,46.27817153930664,173.23907470703125,15.103511810302734,34.59622573852539,37.26097869873047,97.80139923095703,364.08880615234375,,5.726198196411133,1.5621182918548584
